PWSID,Water System Name,Water System Classification,Water System Ownership,Physical location Address 1,Physical location Address 2,Physical location City,Physical location Zip,Website URL,Population Res,WR Type CODE,Water Rate Type,WR Num Tiers,WR Rate Updated,WR Rate Changes,WR Frequency,WR New Connection Fee,WR Connection Fee Updated,WR SF FBR,WR SF Amt per HCF,WR SF Amt Low,WR SF Amt High,WR SF Amt per HCF Low,WR SF Amt per HCF High,WR MF FBR,WR MF Amt per HCF,WR MF Amt Low,WR MF Amt High,WR MF Amt per HCF Low,WR MF Amt per HCF High,WR Subsidies,WR S FBR,WATER RATES Lifeline UUR VOLUME,WR S Amt Low,WR S Amt High,WR S Amt per HCF Low,WR S Amt per HCF High,WR S Amt Percent,WR CI FBR,WR CI Amt per HCF,WR CI Amt Low,WR CI Amt High,WR CI Amt per HCF Low,WR CI Amt per HCF High,WR I FBR,WR I Amt per HCF,WR I Amt Low,WR I Amt High,WR I Amt per HCF Low,WR I Amt per HCF High,WR LI FBR,WR LI Amt per HCF,WR LI Amt Low,WR LI Amt High,WR LI Amt per HCF Low,WR LI Amt per HCF High,WR AI FBR,WR AI Amt per HCF,WR AI Amt Low,WR AI Amt High,WR AI Amt per HCF Low,WR AI Amt per HCF High,WR O FBR,WR O Amt per HCF,WR O Amt Low,WR O Amt High,WR O Amt per HCF Low,WR O Amt per HCF High,WR FS Surcharges,WR FS FBR,WR FS Amt per HCF,WR FS Amt Low,WR FS Amt High,WR FS Amt per HCF Low,WR FS Amt per HCF High,WR Other Surcharges,WR Other Surcharges Description,WR OS FBR,WR OS Amt per HCF,WR OS Amt Low,WR OS Amt High,WR OS Amt per HCF Low,WR OS Amt per HCF High,WR AVG Mon Res Cost,WR AVG Mon Res Cost 6 CCF,WR AVG Mon Res Cost 12 CCF,WR AVG Mon Res Cost 24 CCR,SYSTEM,EAR YEAR 
CA1000049,HOME CREEK TRACT,Transient Noncommunity Water System,State or Federal Government,HOME CREEK @ HUNTINGTON L RD, ,HUNTINGTON LAKE,93629,SUBARUSUE@aol.com,18,BUUR, Base Rate + Uniform Usage Rate: Single flat base rate charge plus a charge per 100 cubic feet (hcf) that is same regardless of how much is used.,N/A,NA,NA,O,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,,,,,,,No,,,,,,,, ,NA,NA,NA,SMALL,2015
CA1300517,U.S. GYPSUM CO,Nontransient Noncommunity Water System,Privately owned business (non-community), , ,PLASTER CITY,92269,,N/A,N/A,Not Applicable,N/A,N/A,N/A,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,SMALL,2015
CA1300643,MESQUITE MINES INC.,Nontransient Noncommunity Water System,Privately owned business (non-community), 6052 East Highway 78, ,BRAWLEY,92227,,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3107339,FOLSOM LAKE MUTUAL WATER CO,Community Water System,Privately owned Mutual Water Company or Association,6514 Minus Lane,,Granite Bay,95746-8142,NA,333,VBR,"Variable Base Rate: Basic charge is different, depending on size of pipe, water meter, or other factors",N/A,1/1/2016,Decrease of $6 per month for water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900715,HALFWAY HOUSE CAFE,Transient Noncommunity Water System,Privately owned business (non-community),15564 Sierra Highway,Canyon Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900594,CAMP VERDUGO OAKS BOYSCOUTS,Transient Noncommunity Water System,Privately owned business (non-community),38001 GOLDEN STATE HIGHWAY, ,CASTAIC,91310,,6,N/A,Not Applicable,-,N/A,N/A,-,N/A,,N/A,,,,,,N/A,,,,,,-,N/A,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,No,N/A,,,,,,No,,N/A,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900644,USFS-HORSE FLATS A-10,Transient Noncommunity Water System,State or Federal Government,Angeles Forest,,,,,0,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900736,USFS LITTLEROCK CAMP V-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900077,USFS-CHANTRY FLATS-A16 WATER,Transient Noncommunity Water System,State or Federal Government,Chantry Flats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900078,USFS-BIG PINES V-2,Transient Noncommunity Water System,State or Federal Government,Buckhorn Camp Angeles Crest Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900512,USFS-JACKSON FLATS V-2-1,Transient Noncommunity Water System,State or Federal Government,Jackson Flata access road 3N26,,,,,N/A,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1900528,USFS-CHARLTON FLATS A-8,Transient Noncommunity Water System,State or Federal Government,Angeles Crest Hwy. Chilao Recreation Area,91011,,,,N/A,N/A,Not Applicable,N/A,N/A,N/A,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900554,USFS-LITTLE JIMMY A-13,Transient Noncommunity Water System,State or Federal Government,Highway 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900571,USFS-CHILAO MAIN A-9,Transient Noncommunity Water System,State or Federal Government,Angeles Crest Hwy,,,,,0,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1900576,USFS-MONTE CRISTO CAMP T-4,Transient Noncommunity Water System,State or Federal Government,Monte Cristo Station,23681 N. Angeles Forest Hwy,Palmdale CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900914,USFS-SKYLINE PARK / MOUNT WILSON A-4,Transient Noncommunity Water System,State or Federal Government,MT. Wilson Road/Angeles Crest HWY,Angeles National Forest CA,,,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA1900922,USFS-RED BOX STATION A-3,Transient Noncommunity Water System,State or Federal Government,Angeles Crest Hwy,Oak Grove,,,,3,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900583,USFS-JACKSON LAKE V-4,Community Water System,State or Federal Government,Jackson Lake Water System,Big Pines Highway,Angeles National Forest,,,0,N/A,Not Applicable,N/A,N/A,N/A,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900586,USFS-CRYSTAL LAKE B-13 WATER,Transient Noncommunity Water System,State or Federal Government,444 East Bonita Ave.,San Dimas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900588,USFS-RINCON STATION B-10,Transient Noncommunity Water System,State or Federal Government,USFS Rincon Station,15200 San Gabriel Canyon Road,Azusa CA 91702,,,N/A,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1907019,USFS-LOS ALAMOS S-15,Transient Noncommunity Water System,State or Federal Government,Angeles Forest,,,,,N/A,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1900987,USFS- OAK FLATS WATER SYSTEM,Transient Noncommunity Water System,-,,,,,, , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SMALL,2015
CA1909627,USFS-VALYERMO RANGER STATION,Nontransient Noncommunity Water System,State or Federal Government,29835 Valyermo Road ,Valyermo CA. 93563,,,,0,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1900058,USFS-BUCKHORN CAMP A-12 WATER,Transient Noncommunity Water System,State or Federal Government,Buckhorn Camp Angeles Crest Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900729,USFS-LOS CANTILLES S-2,Transient Noncommunity Water System,State or Federal Government,Angeles Forest,,,,,N/A,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900752,TEXAS CANYON RANGER STATION,Nontransient Noncommunity Water System,State or Federal Government,31250 Bouquet Canyon Road,Saugus CA. 91390,,,http://www.fs.usda.gov/angeles,0,N/A,Not Applicable,N/A,N/A,N/A,O,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900791,USFS-SYCAMORE FLATS V-5,Transient Noncommunity Water System,State or Federal Government,29835 Valyermo RD Valyermo CA 93563,,,,,0,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900020,USFS-MILL CREEK SUMMIT T-5,Transient Noncommunity Water System,State or Federal Government,Palmdale CA 93550,,,,,N/A,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1900952,COLDBROOK CAMPGROUND,Transient Noncommunity Water System,State or Federal Government,HWY 39 AT COLDBROOK Azuza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900974,USFS-APPLETREE FLATS V-3,Transient Noncommunity Water System,State or Federal Government,Big Pines Hwy. ,Angeles Forest,92397,,,N/A,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA3400460,CHURCH OF JESUS CHRIST OF LDS (SWS), ,Privately owned business (non-community), 8679 Elk Grove Boulevard, ,ELK GROVE,95624,lds.org,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1800557,MOUNTAIN VALLEY LATTER-DAY SAINTS CHURCH, ,Privately owned business (non-community),718-045 Hwy 395, ,STANDISH,96128,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1800010,CLEAR CREEK LATTER DAY SAINTS CHURCH, ,Privately owned business (non-community),3384 Highway 147,,Clear Creek,96137,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA2900516,CAMP RUCKER LAKE, ,Privately owned business (non-community),37098 RUCKER LAKE RD, ,NEVADA CITY,95959,,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1900820,LANG RANCH SHOPPING CENTER,Transient Noncommunity Water System,Privately owned business (non-community),33302 Agua Dulce Cyn Rd,,Agua Dulce CA ,91390,,3,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA1300683,OCOTILLO CHEVRON STATION, ,Privately owned business (non-community),1071 Imperial Hwy,,Ocotillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1300653,BORNT & SONS INC.,Nontransient Noncommunity Water System,Privately owned business (non-community), 2307 Hwy 98, ,HOLTVILLE,92250,n/a,5,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA1300554,MEADOWS UNION ELEMENTARY SCHOOL,Nontransient Noncommunity Water System,Local Government,2059 BOWKER RD, ,EL CENTRO,92243,,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA1300513,OCOTILLO MUTUAL WATER CO,Community Water System,Privately owned Mutual Water Company or Association, Fourth and Palo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1300626,SUNBEAM LAKE RV RESORT, ,Local Government, 1716 Sunbeam Lake Drive, ,EL CENTRO,92243,,30 - 600,FBR,Flat Base Rate: Basic charge that all customers pay,N/A,N/A,N/A,O,N/A,N/A,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA1300514,COYOTE VALLEY MUTUAL WATER CO,Community Water System,Privately owned Mutual Water Company or Association, 1157 Imperial Highway, ,OCOTILLO,92259,n/a,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1900616,THE RIVER COMMUNITY,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4500230,AIRPORT COMMERCIAL PLAZA,Nontransient Noncommunity Water System,Privately owned business (non-community), 8788 - 8798 Airport Road, ,REDDING,96002,dking@kcengr.com,N/A,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA1900741,YOUNG-NAK PRESBYTERIAN CHURCH,Community Water System,Privately owned business (non-community),24100 PINE CANYON ROAD, ,LAKE HUGHES,93532-1104,youngnakgm@gmail.com ,2,N/A,Not Applicable,N/A,,We do not sell the water,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA1909015,21ST CENTURY HOLINESS TABERNACLE CHURCH,Transient Noncommunity Water System,Privately owned business (non-community),13136 Sierra Highway, ,AGUA DULCE,91390,NA,N/A,N/A,Not Applicable,-,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA1909646,AGUA DULCE WINERY,Transient Noncommunity Water System,Privately owned business (non-community),9830-9640 SIERRA HIGHWAY, ,AGUA DULCE,91390,www.aguadulcewinery.com,1,N/A,Not Applicable,N/A,na,na,O,na,na,na,,,,,,na,,,,,,No,na,,,,,,,na,,,,,,na,,,,,,na,,,,,,na,,,,,,na,,,,,,No,na,,,,,,No,,na,,,,,, ,na,na,na,SMALL,2015
CA2300788,RIDGE WATER SYSTEM,Transient Noncommunity Water System,Privately owned business (non-community),16580 N HWY 101,,WILLITS,95490,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA2300708,RIDGEWOOD WATER SYSTEM,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1010044,HURON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5402050,MILK SPECIALTIES GLOBAL,Nontransient Noncommunity Water System,Privately owned business (non-community),715 N. DIVISDERO ST, ,VISALIA,93291,,0,N/A,Not Applicable,N/A,N/A,N/A,M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,No,,,,,,,No,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA5403100,SEVEN CIRCLES RETREAT,Transient Noncommunity Water System,Privately owned business (non-community),49496 HWY 245, ,BADGER,93603,www.sevencirclesretreat.org,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5403145,WAWONA PACKING COMPANY LLC,Nontransient Noncommunity Water System,Privately owned business (non-community),12133 AVE. 408, ,CUTLER,93615,wawonapacking.com,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5403149,RANCHO LOPEZ,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA2000195,HIDDEN VIEW  HENSLEY LAKE,Transient Noncommunity Water System,State or Federal Government,25207 Road 407, ,RAYMOND,93653,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/HensleyLake.aspx,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5000548,MONTPELIER ORCHARDS (WATER),Nontransient Noncommunity Water System,Privately owned business (non-community), 4931 Montpelier Road, ,HICKMAN,95323,,4,N/A,Not Applicable,N/A,N/A,N/A,O,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
CA3400271,ARCOHE ELEM SCHOOL - MAIN CAMPUS,Nontransient Noncommunity Water System,-,11755 IVIE RD, ,HERALD,95638,,n/a,BUUR, Base Rate + Uniform Usage Rate: Single flat base rate charge plus a charge per 100 cubic feet (hcf) that is same regardless of how much is used.,N/A,,,M,,n/a,n/a,n/a,,,,,,,,,,,No,n/a,n/a,,,,,,n/a,n/a,,,,,n/a,n/a,,,,,n/a,n/a,,,,,n/a,n/a,,,,,,,,,,,No,,,,,,,No,,n/a,,,,,, ,n/a,n/a,n/a,SMALL,2015
CA1200687,RIVERBEND MOBILE HOME PARK,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5403031,SUN PACIFIC-TULARE,Nontransient Noncommunity Water System,Privately owned business (non-community),13129 AVE 248, ,TULARE,93274,,0,N/A,Not Applicable,-,N/A,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3105446,LODGEPOLE CAMPGROUND,Transient Noncommunity Water System,Privately owned business (non-community), 45700 Six Mile Valley Rd, ,EMIGRANT GAP,95715,pge.com/recreation,N/A,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3105852,BEAR VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3105853,KIDD LAKE,Transient Noncommunity Water System,Privately owned business (non-community), Kidd Lake Road, ,SODA SPRINGS,95728,www.pge.com/recreation,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2900513,LAKE SPAULDING CAMPGROUND,Transient Noncommunity Water System,Privately owned business (non-community),LAKE SPAULDING CAMPGROUND,10260 Lake Spaulding Road,NEVADA CITY,95959,www.pge.com/recreation,N/A,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5200560,MIRA MONTE WATER CO.,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5200012,VISTA GRANDE WATER SYSTEM, ,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5200502,LAS FLORES WATER WORKS, ,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5301017,RUSH CREEK MUTUAL WATER SYSTEM,Community Water System,Privately owned Mutual Water Company or Association,P.O. BOX 830,8 MI. N ON HWY 3,WEAVERVILLE,96093,http://sites.google.com/site/rushcreekmutualwaterco,80,BVUR,Base Rate + Variable Usage Rate,2,6/1/2015,Increased rates per cu. ft. over 2000/mo.,M,N/A,N/A,$55 ,$0.13 ,N/A,N/A,$0.13 ,$0.40 ,N/A,N/A,N/A,N/A,N/A,N./A,No,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,No,,,,,,,No,,,,,,,, ,$65 ,?,?,SMALL,2015
CA5400670,TRIPLE R MUTUAL WATER CO,Community Water System,Privately owned Mutual Water Company or Association,CATTLE DRIVE AND SURROUNDING AREA,C/0 16521 MUSTANG DRIVE,SPRINGVILLE,93265,None,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5700773,UNITARIAN CHURCH OF DAVIS,Nontransient Noncommunity Water System,Privately owned business (non-community), 27074 Patwin Road, ,DAVIS,95616,www.uudavis.org,0,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4500283,CALTRANS-HILLCREST SRRA,Transient Noncommunity Water System,State or Federal Government,P.O. BOX 496073,HWY 299 MILE POST 60.6,MONTGOMERY CREEK,96065,john_dobson@dot.ca.gov,0,N/A,Not Applicable,N/A,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
CA4500284,CALTRANS-O'BRIEN SRRA,Transient Noncommunity Water System,State or Federal Government, ,I-5 MILE POST 31.1,O'BRIEN,96070,john_dobson@dot.ca.gov,0,N/A,Not Applicable,N/A,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
